Model_1,Model_2,Accuracy_Diff,Return_Diff,Accuracy_Ratio,Return_Ratio,Better_Accuracy,Better_Return
Random Forest,Gradient Boosting,0.0,0.014617022199208254,1.0,1.1267548508356013,Gradient Boosting,Random Forest
Random Forest,Logistic Regression,0.35750000000000004,0.0844326397104853,1.560960301270987,2.855595391610597,Random Forest,Random Forest
Random Forest,VQE Classifier,0.6217,0.09818035708693049,2.666309300455642,4.0919123880777,Random Forest,Random Forest
Random Forest,QNN,0.6217,0.08193936006234287,2.666309300455642,2.7072505786905676,Random Forest,Random Forest
Random Forest,QSVM,0.544,0.07316939078817505,2.206743566992014,2.288990216655496,Random Forest,Random Forest
Random Forest,QASA Hybrid,0.35230000000000006,0.0055615167391473985,1.5483268482490273,1.0447165155496336,Random Forest,Random Forest
Random Forest,QASA Sequence,0.2531,-0.009302883706516163,1.3412430901981933,0.93318677819622,Random Forest,QASA Sequence
Gradient Boosting,Random Forest,0.0,-0.014617022199208254,1.0,0.8875044995443331,Random Forest,Random Forest
Gradient Boosting,Logistic Regression,0.35750000000000004,0.06981561751127704,1.560960301270987,2.534353758932467,Gradient Boosting,Gradient Boosting
Gradient Boosting,VQE Classifier,0.6217,0.08356333488772222,2.666309300455642,3.6315906561601565,Gradient Boosting,Gradient Boosting
Gradient Boosting,QNN,0.6217,0.06732233786313463,2.666309300455642,2.4026970699818784,Gradient Boosting,Gradient Boosting
Gradient Boosting,QSVM,0.544,0.058552368588966806,2.206743566992014,2.0314891166947104,Gradient Boosting,Gradient Boosting
Gradient Boosting,QASA Hybrid,0.35230000000000006,-0.009055505460060856,1.5483268482490273,0.927190608298577,Gradient Boosting,QASA Hybrid
Gradient Boosting,QASA Sequence,0.2531,-0.023919905905724417,1.3412430901981933,0.8282074645644247,Gradient Boosting,QASA Sequence
Logistic Regression,Random Forest,-0.35750000000000004,-0.0844326397104853,0.6406312826698833,0.3501896672539402,Random Forest,Random Forest
Logistic Regression,Gradient Boosting,-0.35750000000000004,-0.06981561751127704,0.6406312826698833,0.3945779062908822,Gradient Boosting,Gradient Boosting
Logistic Regression,VQE Classifier,0.2642,0.01374771737644518,1.7081211471455373,1.4329454376132058,Logistic Regression,Logistic Regression
Logistic Regression,QNN,0.2642,-0.0024932796481424227,1.7081211471455373,0.9480511793246869,Logistic Regression,QNN
Logistic Regression,QSVM,0.1865,-0.011263248922310239,1.4137089618456078,0.8015807223181125,Logistic Regression,QSVM
Logistic Regression,QASA Hybrid,-0.005199999999999982,-0.0788711229713379,0.9919066147859923,0.365848928955022,QASA Hybrid,QASA Hybrid
