day,cumulative_returns_mean,cumulative_returns_std,cumulative_returns_min,cumulative_returns_max,cumulative_returns_median,date
0,0.007287410266556727,0.00602719590543684,-0.00133230905195858,0.015331655827570456,0.005799949820681105,2024-01-01
1,0.012019987957707489,0.010418179643409657,-0.00025264870168306697,0.024677326426342683,0.012461048959062637,2024-01-02
2,0.018147373615629014,0.006130802867824673,0.009164171995069026,0.02472445241837873,0.02093780246502419,2024-01-03
3,0.025781563511645268,0.009478346548006646,0.009062037873789786,0.037895726202221036,0.028899762294121834,2024-01-04
4,0.02400474306955196,0.02126985750394641,-0.012391967508321167,0.05252011222901287,0.028683277103145555,2024-01-05
5,0.02158531904929084,0.02144568497894125,-0.008352833363236667,0.051712952650622146,0.027441960270438104,2024-01-08
6,0.027292185544685533,0.020790210956701125,0.0007140760379145128,0.05441289870413457,0.034191138970878,2024-01-09
7,0.026404154945464397,0.02701404493617653,-0.006810500589767066,0.06076778702355079,0.037924552063688166,2024-01-10
8,0.018084374312201577,0.026006186776768418,-0.01453902312483013,0.056050289010293186,0.01731743956536569,2024-01-11
9,0.025852080863457295,0.02649175382407173,-0.0065252808228277726,0.058862654684599836,0.014908785061191976,2024-01-12
10,0.023126221681741832,0.025086292452029882,-0.0070629078914923316,0.058129933130353306,0.012997782705722383,2024-01-15
11,0.02454981789171886,0.021967363574613624,0.005362614152227607,0.06110532354570042,0.009739463207183885,2024-01-16
12,0.03220162061602951,0.023645738032381753,0.010884449754995362,0.07748791875040517,0.02135634003573128,2024-01-17
13,0.03357009146876573,0.02223617678325983,0.012748774892145542,0.07582643842650727,0.02333910732042299,2024-01-18
14,0.04016072588489648,0.028493222616251618,0.01776493386385458,0.096364190392348,0.028617926956845174,2024-01-19
15,0.040936949091266106,0.03223432567857315,0.015663026692510185,0.10366710213657448,0.031850013454823856,2024-01-22
16,0.043575635255907394,0.037322534424539845,0.018779738122652656,0.1179091135940118,0.027880890818948068,2024-01-23
17,0.03814133981304337,0.041402107999973736,0.0073748073701200845,0.11971758811610167,0.021066950244793103,2024-01-24
18,0.046289245596971854,0.050127088544822784,0.014734716879115206,0.14627824865772632,0.022784732929791218,2024-01-25
19,0.05052261756787457,0.054274614123965954,0.003978535057478805,0.1565857417833696,0.031370149922020474,2024-01-26
20,0.053017130464137495,0.05495105413639243,0.01856335170758472,0.16149976469036598,0.021853991295246455,2024-01-29
21,0.054420364537993746,0.047356690415478415,0.021819824826629697,0.14773255355619952,0.035196412713711656,2024-01-30
22,0.05820582529444538,0.03796658862370613,0.02508783739080389,0.13118546499379913,0.04245812688748263,2024-01-31
23,0.05400669833602021,0.028488537944667193,0.021076032563051905,0.10477930192973961,0.05016553156461834,2024-02-01
24,0.052285720217173724,0.030422281223494867,0.01934497850273842,0.10769695767554466,0.03780299863065695,2024-02-02
25,0.06917465295409105,0.030197229544980712,0.035302539564395774,0.12373597059373531,0.0565190075621782,2024-02-05
26,0.07770085159998921,0.03441772726807993,0.04887963975895371,0.14445432626267363,0.06379452529277407,2024-02-06
27,0.07813279866843441,0.03560762480068242,0.053509968073253145,0.14833430002886927,0.06432561137529769,2024-02-07
28,0.0779827065380887,0.03588083286329293,0.050311599908372084,0.14809877542406014,0.0637628296598507,2024-02-08
29,0.06734771186372601,0.04194596801469315,0.038655521267982884,0.14902182270075448,0.043748187375140635,2024-02-09
30,0.07246811966584787,0.03806862553392602,0.038854875092310115,0.1416472946577494,0.054104699234598375,2024-02-12
31,0.07943246587662109,0.03928270405089871,0.042342814180031496,0.14756831751929833,0.06082457907038341,2024-02-13
32,0.08745713076257204,0.040164219836557866,0.04805071835529451,0.15708953085899702,0.07296046527375988,2024-02-14
33,0.0857239457695698,0.04139643078313426,0.04036627965993844,0.14625560770303592,0.06728065632103819,2024-02-15
34,0.08338895477558408,0.037248289585049256,0.04561085981657076,0.13615594351686466,0.060612545583972555,2024-02-16
35,0.0857669537132661,0.04080292759419021,0.0498854374915656,0.14373876827445042,0.05839113857877831,2024-02-19
36,0.08488851450460247,0.044963800146773425,0.04059164720048636,0.15129965940649548,0.06582730527892888,2024-02-20
