day,cumulative_returns_mean,cumulative_returns_std,cumulative_returns_min,cumulative_returns_max,cumulative_returns_median,date
0,-0.006666869808942444,0.009016908185012355,-0.022679221946042882,0.0035805224332943197,-0.002843035738449573,2024-01-01
1,-0.008606045629594328,0.00967815121626303,-0.021653060681563252,4.8662459635639976e-05,-0.0013016130585390417,2024-01-02
2,-0.005481146253274183,0.012327922053475701,-0.018811920885586475,0.01685237335200096,-0.011060588531956683,2024-01-03
3,-0.003543258343891087,0.011229872248110407,-0.024451201050275095,0.008671392400967592,-0.0021693598030160244,2024-01-04
4,-0.012664232753223103,0.01386094674598781,-0.038138508961233386,-0.0009800478351701392,-0.005419534024019734,2024-01-05
5,-0.011039519057383696,0.019734161717912868,-0.04865348504758005,0.009325682245051592,-0.004797608058216052,2024-01-08
6,-0.012057046308879849,0.013356291433961396,-0.03842311410934296,-0.0024581494408651983,-0.007737917198851529,2024-01-09
7,-0.003135853850272663,0.015694204183751437,-0.028613792606548616,0.01798796174249917,-0.001541608643193082,2024-01-10
8,-0.0021782732072368914,0.016240527215452705,-0.022371030623847266,0.019492645275687837,0.001174059991194465,2024-01-11
9,-0.0020126573097357216,0.019241231333383905,-0.024125024846331056,0.030842180375926453,-0.006311237716278839,2024-01-12
10,0.0037508056923080567,0.011305878799701517,-0.012019305252614965,0.022181893629186433,0.005684855991327842,2024-01-15
11,0.005719743565257796,0.02187730222171446,-0.0214456220508652,0.039627707617594154,0.0036979035027095986,2024-01-16
12,-0.000692588269801564,0.022556823867325087,-0.028870694076653547,0.03508730647797398,0.001015880784572376,2024-01-17
13,-0.004607966735221236,0.02000366556851437,-0.030008226759550616,0.02091522753750752,0.004891741531606764,2024-01-18
14,-0.007520447061916946,0.02028422299268916,-0.032174413423146864,0.017089594733457503,-0.0008776922817276267,2024-01-19
15,-0.005644586130525697,0.02087269136978275,-0.03161677214816816,0.024171992579141044,0.0029393675971243205,2024-01-22
16,-0.00795324875733261,0.020329060658705517,-0.03380994834122164,0.021991368615192908,-0.008306273345202952,2024-01-23
17,-0.011289206977139176,0.02734988142363495,-0.04567660278983243,0.017767257879928833,-0.00020886175955092678,2024-01-24
18,-0.012223093145837338,0.03085578201494109,-0.058462021905065775,0.017063491781886597,0.006527867161427281,2024-01-25
19,-0.02085627057999575,0.039502946811351726,-0.0832089436970691,0.015181336595462502,0.0026075789889210554,2024-01-26
20,-0.014495139699923821,0.040105298489303054,-0.07063737637999212,0.031113653381754425,-0.0007788934489623145,2024-01-29
21,-0.018933414293278106,0.045126177094467694,-0.07153860754093733,0.03882978889700972,-0.019235693051533942,2024-01-30
22,-0.012827639851701078,0.04366332446661015,-0.06571933581818801,0.048192527616071956,-0.0018241141933857952,2024-01-31
23,-0.017371419963422306,0.04123948369699437,-0.06320910735138041,0.045497464980083,-0.004886993342822499,2024-02-01
24,-0.020512960406379087,0.042087765441330215,-0.07717511134700272,0.044094514923091355,-0.009902151514975865,2024-02-02
25,-0.02198756791756522,0.03766639097686524,-0.07266812957896729,0.030510385065945167,-0.007303860464477285,2024-02-05
26,-0.018711083515351935,0.03963372199059588,-0.06803052792309017,0.04065960423529691,-0.005744300099932098,2024-02-06
27,-0.018505834826310984,0.03547982361751417,-0.06103508021814086,0.03373712734968448,-0.008398100004164966,2024-02-07
28,-0.017579355053865008,0.03665349832711773,-0.05698333918722487,0.04183417826470959,-0.02262852988753783,2024-02-08
29,-0.01339269694790719,0.043466886627952006,-0.07224758078272286,0.05543837446091171,-0.016681014863809907,2024-02-09
30,-0.01540490232607683,0.04188724080160073,-0.07856047410067157,0.04803364341185401,-0.005607443641670873,2024-02-12
31,-0.016190276865134457,0.03296308694285123,-0.06165109464943719,0.03952723841302652,-0.01660198964659909,2024-02-13
32,-0.01836420595966588,0.03512202990310396,-0.06072400651024357,0.04601271379446237,-0.02754454565910769,2024-02-14
33,-0.018053931848117523,0.03601480979412673,-0.06860020078427687,0.044153805761768306,-0.021243329650596054,2024-02-15
34,-0.026653441437254788,0.0388772982768636,-0.0806132680502385,0.039492874064342987,-0.02571347725773987,2024-02-16
35,-0.03099117798143063,0.0435782531163213,-0.08986987269309232,0.039353518262094545,-0.024687234780576883,2024-02-19
36,-0.025364528282789057,0.04035786120594008,-0.07913685341110499,0.03538467259728684,-0.014832723434009432,2024-02-20
37,-0.02558001842585662,0.03848446344588309,-0.07915008497738352,0.029796736450125705,-0.02466691467015303,2024-02-21
38,-0.022710298699568466,0.04330587870013736,-0.08974149699842271,0.037875682286586,-0.024255429261096917,2024-02-22
39,-0.016428081902254532,0.05011498076693847,-0.09371210104946492,0.05878527096759201,-0.025309268454021594,2024-02-23
40,-0.015910899693370985,0.0516711033349595,-0.09138044300176218,0.06637062682022288,-0.017592666579395067,2024-02-26
41,-0.023878612700557245,0.056209634062814394,-0.09711749396102087,0.06504937044460846,-0.024621053696099238,2024-02-27
42,-0.020523063901243522,0.06365517077821092,-0.09450795112288868,0.0897855722997134,-0.03463300095227184,2024-02-28
43,-0.018337993593132974,0.06438382740400747,-0.09643700439164893,0.08477582322661759,-0.020931613214790867,2024-02-29
44,-0.012471714192280792,0.07090727181272968,-0.10111490948887436,0.106744882388919,-0.03752596916266526,2024-03-01
45,-0.013056313090365724,0.07290978829134699,-0.09328810083309591,0.10644300449104405,-0.03404781723599093,2024-03-04
46,-0.010663661017057758,0.07432858519883843,-0.09952813397119298,0.11222849820758785,-0.04333300833340459,2024-03-05
47,-0.017724519155869433,0.07444103562340855,-0.10865078087667202,0.11159630078466365,-0.04650412771905166,2024-03-06
48,-0.019110040079140987,0.07597501820732094,-0.10805713793450233,0.11465611407060705,-0.04506569677883843,2024-03-07
49,-0.02049681031018309,0.07468995791991871,-0.11718606360419204,0.10308735157822335,-0.03314689400211346,2024-03-08
50,-0.0208431590582951,0.07201406114872858,-0.11567959842721898,0.09896638977691063,-0.028409233981310678,2024-03-11
51,-0.022339058409237646,0.07480967682812058,-0.12364758828988254,0.10116561955412595,-0.027526351826867912,2024-03-12
52,-0.02518833209103184,0.07449042587326027,-0.12381391644012629,0.08944827066139505,-0.018354354253362404,2024-03-13
53,-0.02264226097212525,0.07512872651776653,-0.12855846241813473,0.08504358530939649,-0.020662374246950388,2024-03-14
54,-0.012680830001350474,0.0771713396710535,-0.11332694040330693,0.10026656454956906,0.001067328325759398,2024-03-15
55,-0.012077728637486884,0.07547501970467303,-0.1106975164481998,0.10198676204273394,0.002743147019874659,2024-03-18
56,-0.014313404427253151,0.07984112484555625,-0.12672196143920245,0.09675096446029596,-0.005624751621319479,2024-03-19
57,-0.017664672819620274,0.08319009519526042,-0.1223660359699057,0.10468199299477043,-0.01956634737923979,2024-03-20
58,-0.014103294296577817,0.09028593520334047,-0.13096032858943607,0.1247858117710905,-0.003100642015698263,2024-03-21
59,-0.010198398717200362,0.0994476762541286,-0.13951905501363704,0.14699415516626457,0.006509366411494799,2024-03-22
60,-0.01022927386844128,0.10346254068955361,-0.1457155584033204,0.1558542215605665,-0.018364880214764567,2024-03-25
61,-0.014715747185068717,0.10264420387894604,-0.14663872338496142,0.1562884512734064,-0.0226261063325649,2024-03-26
62,-0.01499174574802895,0.10683607106747876,-0.1430431689910857,0.164215897676933,-0.020836853714059744,2024-03-27
63,-0.01576357904362593,0.1068238339744113,-0.14329441142699428,0.17066436449902467,-0.016820249152768807,2024-03-28
64,-0.00950071130429444,0.10956453373853925,-0.14948776918436912,0.18165660415791307,-0.00740923528877413,2024-03-29
65,-0.008230736155132656,0.1101593811827869,-0.1538462764169246,0.17937196256796706,-0.000472502052492052,2024-04-01
66,-0.010230771563413033,0.1054984273071366,-0.1514601498811987,0.17179138171480024,-0.01022595136755089,2024-04-02
67,-0.013138520334109782,0.10376456666410543,-0.1504633406918391,0.1687135555873085,-0.029069161798192633,2024-04-03
68,-0.006670752575303762,0.1072218651837381,-0.1478263140569791,0.18013220590284917,-0.015499091780343144,2024-04-04
69,-0.01327866891660423,0.10570539628101801,-0.1587495483416479,0.165785012591394,-0.007411554791756592,2024-04-05
70,-0.009015361966747326,0.10749122425453785,-0.1541977315231603,0.17426031622711857,-0.006529541113904802,2024-04-08
71,-0.014836815322228447,0.10298306222739632,-0.15152502058156703,0.16049320791827637,-0.01804243225795621,2024-04-09
72,-0.01813548951100241,0.10523570838392536,-0.16109112540124637,0.15968803999323034,-0.029660045098697352,2024-04-10
73,-0.008318282140995326,0.10435235547211316,-0.15483496776887262,0.16583378770871682,-0.013950340989834054,2024-04-11
74,-0.01205661536512812,0.10107895814662268,-0.15894437475609957,0.1504999911701499,-0.012965491037943866,2024-04-12
75,-0.013083371838192104,0.09917092418828505,-0.15742623165267777,0.14619610699041985,-0.01957298062200985,2024-04-15
76,-0.014246762119482703,0.09336496943309186,-0.15754467563613916,0.12660060042541477,-0.024400573798777137,2024-04-16
77,-0.015653150742028422,0.09528828793701404,-0.15864419905811944,0.13003114977390884,-0.025470686629874617,2024-04-17
78,-0.020848953948117876,0.10027554967402237,-0.16961465634341022,0.12776780072061555,-0.02799313580493834,2024-04-18
79,-0.01941873098351825,0.09411954711907204,-0.15739417444036852,0.11893925522535476,-0.028140435939416175,2024-04-19
80,-0.02836475900410649,0.09288125734606863,-0.15944034544530594,0.10713846557616935,-0.048671429201014416,2024-04-22
81,-0.030148937868426474,0.0972090400023556,-0.1722945996048756,0.10494496799757203,-0.056725943688179625,2024-04-23
82,-0.031015115566839578,0.0875199820892306,-0.1583865620878665,0.0876328160036246,-0.03810092766488282,2024-04-24
83,-0.031032572132560297,0.0924470210539092,-0.15969535147885716,0.0904666807565595,-0.05077028750603807,2024-04-25
84,-0.03270124097086469,0.09455971325274044,-0.15773817046711158,0.10168892870233504,-0.04878091621939795,2024-04-26
85,-0.029936607034093378,0.09142145075231013,-0.14910559077228858,0.10265461517090957,-0.05443620763115675,2024-04-29
86,-0.04028084827670912,0.08640612074737106,-0.15614755224669374,0.07949219303195032,-0.0637837761971719,2024-04-30
87,-0.04273636982908628,0.08962798358147711,-0.1645056725730989,0.06991998961096169,-0.06374882284042427,2024-05-01
88,-0.03880052627803461,0.08850366083747718,-0.1506337592924164,0.0717727708033793,-0.06478002958072349,2024-05-02
89,-0.04053471148396106,0.09463185515390873,-0.16635668249329616,0.07509532302616928,-0.06143724699151343,2024-05-03
90,-0.043783068082851394,0.09418197445123998,-0.1584352613656178,0.08648843818199192,-0.07216422211995521,2024-05-06
91,-0.04623291103659797,0.08979558246985533,-0.1490212486893726,0.07933911256971826,-0.09056796217372776,2024-05-07
92,-0.04834224720816105,0.08759590453198861,-0.14994503945789583,0.07192018654036203,-0.09278437355228408,2024-05-08
93,-0.04556979374525101,0.07899477619835998,-0.1421097995373134,0.05680793318958144,-0.07895484189046975,2024-05-09
94,-0.04699403422426185,0.08128694737315137,-0.13615977834697512,0.06885347728879498,-0.07201857268779799,2024-05-10
95,-0.04167340891808304,0.07207640852460954,-0.12278831254238931,0.05710286183696267,-0.06546838381880271,2024-05-13
96,-0.04450771105493543,0.06685604004183751,-0.11105051330945137,0.047038629215998995,-0.07970089860906382,2024-05-14
97,-0.050590542650565395,0.06054044256610881,-0.11468020736309503,0.03491210971472647,-0.06610786477491326,2024-05-15
98,-0.05478449303331845,0.06362016096931279,-0.12709775488915842,0.03419691565275951,-0.05679351477517913,2024-05-16
99,-0.05799434418983633,0.06453556958989105,-0.13205158412997775,0.02658831779081572,-0.06594328535145166,2024-05-17
100,-0.06113724719371936,0.06552323119696994,-0.130185599304514,0.027173402290153303,-0.08705078645679254,2024-05-20
101,-0.0599492059284882,0.0639912713588994,-0.13954876053262333,0.014762986181524607,-0.07655533029192374,2024-05-21
102,-0.06085116890500455,0.06163803132505004,-0.14020192337369664,0.015642901721561575,-0.08565186992335494,2024-05-22
103,-0.06076356097851985,0.06416283584991084,-0.14537202000744498,0.022936919793670407,-0.0895799581094624,2024-05-23
104,-0.0627831360309741,0.06735296317376978,-0.15903929059943767,0.034604326550102815,-0.08464005109296135,2024-05-24
105,-0.06437816686259945,0.07104937819697028,-0.17505706109325514,0.03707901842094685,-0.07544629367296385,2024-05-27
106,-0.06608597289519794,0.07426982081857038,-0.17702955800841114,0.04000316840631224,-0.0862415022023224,2024-05-28
107,-0.06736611182484183,0.076643989525295,-0.1780432059302237,0.048741206244559354,-0.09353692199116648,2024-05-29
108,-0.06087597249285932,0.07353856615048375,-0.16592721428024515,0.0467223548560074,-0.0881254252664676,2024-05-30
109,-0.062382642839775126,0.0802637775580881,-0.17797803520466982,0.04483221005330296,-0.09331064037185899,2024-05-31
110,-0.056839872600130306,0.07223482646459775,-0.162399266419052,0.03246865444610192,-0.0801577315733163,2024-06-03
111,-0.05439422471387199,0.07794973906412198,-0.16850196927724148,0.04634516671027855,-0.06841074101998679,2024-06-04
112,-0.0625372877789154,0.08361560315502302,-0.18618854322041878,0.04946134672383207,-0.07342577486457524,2024-06-05
113,-0.06304725074654069,0.08674604502270798,-0.18105042009431838,0.06156089995688663,-0.0854504809792892,2024-06-06
114,-0.06362500215806474,0.08685957239187878,-0.17104949385585055,0.06749737401449063,-0.10407687047644432,2024-06-07
115,-0.06264780735697077,0.08173032224654495,-0.1768313167739891,0.05591637091378643,-0.09551341143802794,2024-06-10
116,-0.06035003737418006,0.0812478945800467,-0.17480114050403817,0.054612945552736214,-0.08936137633082908,2024-06-11
117,-0.06227098414860088,0.07595359345067876,-0.17146835271726635,0.04553682441929463,-0.0905828285646656,2024-06-12
118,-0.06317150128445521,0.07914205838639816,-0.17546263588806865,0.05339226732291458,-0.09025733091034871,2024-06-13
