day,cumulative_returns_mean,cumulative_returns_std,cumulative_returns_min,cumulative_returns_max,cumulative_returns_median,date
0,0.0007323111883251965,0.005854071363746005,-0.008309605070055515,0.0090463186009202,0.000737857083531468,2024-01-01
1,0.002213222559320571,0.006387169034393966,-0.0075657675038532934,0.011388778020536616,0.0023619167775892347,2024-01-02
2,0.001141886230090594,0.0069192198152337285,-0.009393016729830173,0.011802119170857939,0.0020154380106449654,2024-01-03
3,-0.0012654288964078608,0.006305208836931307,-0.009120978150824133,0.00925897589378133,-0.0011935644076137564,2024-01-04
4,-0.005073146442620002,0.006616810860208827,-0.016076854399346363,0.002397578512708387,-0.002949532448807801,2024-01-05
5,-0.009174747643453784,0.010050695793152683,-0.021947413907038027,0.002166242953788089,-0.004721489915606725,2024-01-08
6,-0.0012508427168886672,0.008199921986484211,-0.013933138475755835,0.009129827229574783,0.002722982933275775,2024-01-09
7,-0.0013917993834249077,0.0082961081975673,-0.014939499548589086,0.009470980778722105,0.0005594116671401306,2024-01-10
8,-0.0006505365699747134,0.004962675124230902,-0.007731887275782445,0.006418594063386296,0.0002955757602631781,2024-01-11
9,6.316362168625744e-05,0.007965101339684259,-0.00816711893372657,0.014801241370204776,-0.0014413278938179008,2024-01-12
10,0.003460194480693435,0.01248142466245192,-0.01416805000116228,0.024127426872790236,0.0036018360443337283,2024-01-15
11,0.005201212539697941,0.012716252917300505,-0.009287289425050638,0.022562023061372116,0.00768066831469727,2024-01-16
12,0.004013707779928377,0.015933852710531625,-0.017201103360977688,0.0260397107368604,0.007335380656158685,2024-01-17
13,0.006463538774438527,0.015391536158096018,-0.013900191255955097,0.022595826975045252,0.014562023599187235,2024-01-18
14,0.007567397247249951,0.013576606000631774,-0.013644832362229686,0.024970851281724826,0.008846675750161292,2024-01-19
15,0.004501998314554223,0.015262055693939127,-0.015024083680172384,0.02380972204559706,0.004092559499694559,2024-01-22
16,0.005497887617138231,0.017998310105131036,-0.014824985141016711,0.030473000103854675,0.006362066048370529,2024-01-23
17,0.008080760602500892,0.01933084062422715,-0.015552258581515321,0.03218886196137505,0.013536229915530162,2024-01-24
18,0.004568507898673779,0.019268324032089595,-0.020494544664736214,0.025759618012912266,0.005570551096276688,2024-01-25
19,0.0043787133304856955,0.026003715481351455,-0.03358455716970865,0.027980623961950224,0.02103784990255919,2024-01-26
20,0.003940954609889214,0.024934410585971546,-0.026356466671202727,0.03434134932473043,0.01189242507643562,2024-01-29
21,0.007949600581237438,0.026036879810126003,-0.024325649218005507,0.04288215873566714,0.01437843340938505,2024-01-30
22,0.005445228324836582,0.030415070945766454,-0.03249654579689065,0.05424423428659009,0.00915991537419325,2024-01-31
23,0.0058026093313044095,0.03337387506403218,-0.03649108318213967,0.06119766705639518,0.002348945773130051,2024-02-01
24,0.008481894708022075,0.03819544253028466,-0.043795636622462,0.06882338378583741,0.0045020999664588945,2024-02-02
25,0.005901373253241404,0.0389364091026356,-0.04227446211286412,0.07139551008051259,0.0013028997396979936,2024-02-05
26,0.006867667391180099,0.03443678584500669,-0.035757511114346774,0.06548289214026415,0.003640214851921675,2024-02-06
27,0.008611220432183075,0.03534692552956304,-0.032513955857046195,0.06969975451073496,0.0015762045331026986,2024-02-07
28,0.014686818243995403,0.03500817555880752,-0.030251869007246524,0.07088087721176439,0.008737918935839195,2024-02-08
29,0.016469178123926165,0.033538450534014046,-0.028518453874193828,0.06813841358584827,0.009453806900267647,2024-02-09
30,0.014043911990915547,0.031881897601549636,-0.02394095516882644,0.06544148798808536,0.009458554281820852,2024-02-12
31,0.013858419058497096,0.03439968059128347,-0.025634188314229922,0.0668127120269586,0.007882293379816607,2024-02-13
32,0.015461656855691652,0.027700237023748592,-0.017813433627317687,0.05600174450670803,0.003564487699635688,2024-02-14
33,0.018801143670781385,0.029701409312937768,-0.01161711309464386,0.062200745717025274,0.0104851881741852,2024-02-15
34,0.020095692492270768,0.029438015442730735,-0.0165112803518207,0.05756574943162751,0.014391806283723163,2024-02-16
35,0.02356775635129784,0.029062055138407747,-0.010600423802417103,0.06334165062054353,0.011991170855018662,2024-02-19
36,0.027010390936095873,0.026975225938125926,-0.00917405773032276,0.05887832763311418,0.01507136303523926,2024-02-20
37,0.02385429936671657,0.024600842969263553,-0.009433250646101676,0.05660427745786234,0.016386403915444214,2024-02-21
38,0.021890601298689805,0.027901571405154077,-0.014035884793192621,0.06431787315910964,0.013443530737319076,2024-02-22
39,0.024390662373672312,0.02970379496936004,-0.015666161419123137,0.07128470114015761,0.01505436606849786,2024-02-23
40,0.023799060614457267,0.030676774179595464,-0.01455364736635878,0.07475333038099241,0.013612684265569053,2024-02-26
41,0.025440735902945245,0.031635496904524676,-0.014190875549100479,0.07744923774611512,0.01129727628247057,2024-02-27
42,0.027510327150726634,0.027756165131265543,-0.008130010708059854,0.07686099378853561,0.020344077554196982,2024-02-28
43,0.02596025577545964,0.03289306894966415,-0.020678484973834177,0.07987917950437962,0.024224207654583108,2024-02-29
44,0.024380498665160455,0.03634487257222931,-0.028783759399328868,0.08497599780505083,0.01912218590618231,2024-03-01
45,0.032862876701432175,0.03266792318527091,-0.018796257739196798,0.08388971253398414,0.032580880700408876,2024-03-04
46,0.03175144111072024,0.03493444957138608,-0.029216619205795324,0.07922619541080667,0.034984433653906466,2024-03-05
47,0.031565180330521116,0.039029014783833985,-0.03679632374181718,0.08490040371504848,0.03844674895912026,2024-03-06
48,0.033314858200027775,0.04053249994080381,-0.03353261952218656,0.09349270904746199,0.03440822123027498,2024-03-07
49,0.03423816832183668,0.043547016794681204,-0.03630261184817418,0.10090299547699977,0.03331117439086273,2024-03-08
50,0.031213727851589025,0.04531697933449237,-0.039189304955131066,0.10357725031269771,0.033100846527284844,2024-03-11
51,0.029642958377918326,0.047478719685666755,-0.043045009617507124,0.10512637452882267,0.023178949790562342,2024-03-12
52,0.03862645211660156,0.04786261239241959,-0.03949934003635647,0.11030179521605232,0.03810030512446727,2024-03-13
53,0.03527888301920619,0.04887739502734411,-0.040335368682193784,0.11249389312451408,0.03554601016845971,2024-03-14
54,0.036060088020723094,0.05296828899358535,-0.04716182758423204,0.11678612490760543,0.04115493799646397,2024-03-15
55,0.034346279635951535,0.05750193023871241,-0.04942809304085949,0.12639636493015916,0.043391234853018545,2024-03-18
56,0.034498966640478954,0.056255993954777955,-0.04843283145874144,0.12667566594725166,0.03594655594582208,2024-03-19
