,annual_return_rank,annual_return_value,sharpe_ratio_rank,sharpe_ratio_value,calmar_ratio_rank,calmar_ratio_value,win_rate_rank,win_rate_value,max_drawdown_rank,max_drawdown_value,overall_rank,overall_value
QASA Sequence,1,0.1399010591811099,1,1.7613442702657718,1,6.514387112968622,1,0.6084590991627955,1,-0.1009903818740684,1,1.7613442702657718
Random Forest,2,0.1315983499319323,2,1.6804096991308282,2,2.855123656757345,2,0.5911831589357947,2,-0.0820842678107297,2,1.6804096991308282
Gradient Boosting,3,0.1231264017160946,3,1.6770605806569914,3,2.413520573262233,3,0.5696970315504979,3,-0.0809835999581121,3,1.6770605806569914
QASA Hybrid,4,0.1190505967750333,4,1.3238915745710425,4,2.1645563050006063,4,0.5583190286160754,4,-0.0569372419358855,4,1.3238915745710425
Transformer,5,0.1172589680334351,5,1.231264017160946,5,1.6449793741491543,5,0.5311688058733124,5,-0.0544078599338082,5,1.231264017160946
QuantumRWKV,6,0.0796461789176536,6,1.185210995798418,6,1.5390800214511824,6,0.527514962505214,6,-0.0537516553096548,6,1.185210995798418
Logistic Regression,7,0.0543061487436028,7,1.055836086439648,7,1.2878618965307385,7,0.523357028219373,7,-0.0493176395674416,7,1.055836086439648
QSVM,8,0.0476508901716373,8,0.866992900994361,8,0.7884490255880487,8,0.5233045060023634,8,-0.0367308945073037,8,0.866992900994361
QNN,9,0.0441531454329307,9,0.8239633092178951,9,0.5175539589422904,9,0.520207445491051,9,-0.0312895702890782,9,0.8239633092178951
VQE Classifier,10,0.0300181296186528,10,0.7879759024896371,10,0.5123221579585173,10,0.5162786782757831,10,-0.0170214631016276,10,0.7879759024896371
