Strategy,Type,Rebalance Count,APR (%),Total Fees ($),Cash Ratio (%),Efficiency (APR/Fees),Rebalance Efficiency (APR/Rebalance)
Original (Before Fix),steer_original,2414,-0.75,562.02,95.1,-1.334472082844027,-0.0003106876553438277
Fixed (Conservative),steer_fixed,2880,-0.48,47.88,100.0,-10.025062656641602,-0.00016666666666666666
Fixed (Moderate),steer_fixed,2414,-0.75,562.02,95.1,-1.334472082844027,-0.0003106876553438277
Random Forest,classical_ml,41,28.4,205.0,80.0,138.53658536585365,0.6926829268292682
Gradient Boosting,classical_ml,38,7.3,190.0,80.0,38.421052631578945,0.19210526315789472
Logistic Regression,classical_ml,48,15.0,240.0,80.0,62.5,0.3125
VQE Classifier,quantum_ml,52,7.3999999999999995,260.0,80.0,28.46153846153846,0.1423076923076923
QNN,quantum_ml,53,14.299999999999999,265.0,80.0,53.96226415094339,0.269811320754717
QSVM,quantum_ml,50,8.200000000000001,250.0,80.0,32.800000000000004,0.16400000000000003
QASA Hybrid,hybrid_ml,41,29.7,205.0,80.0,144.8780487804878,0.724390243902439
QuantumRWKV,hybrid_ml,33,25.0,165.0,80.0,151.5151515151515,0.7575757575757576
LSTM_QNN,hybrid_ml,37,9.4,185.0,80.0,50.810810810810814,0.25405405405405407
QASA Sequence,hybrid_ml,34,26.6,170.0,80.0,156.47058823529412,0.7823529411764706
