timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-09-05,385.5,394.61,309.57,335.22,84312.62836,2020-09-05 23:59:59.999,29750173.190937,20249,45107.37453,15992068.5489662,0
2020-09-06,334.89,360.32,316.02,352.84,56644.38058,2020-09-06 23:59:59.999,19306926.0144146,12803,26359.12063,8965184.7794271,0
2020-09-07,352.11,358.28,323.32,353.42,57950.82031,2020-09-07 23:59:59.999,19864019.8557388,13437,29733.95181,10184322.6494331,0
2020-09-08,353.69,356.63,325.25,337.5,46719.63589,2020-09-08 23:59:59.999,15868740.684839,11451,24685.36249,8379509.7540517,0
2020-09-09,337.12,359.17,330.85,351.16,37134.56996,2020-09-09 23:59:59.999,12833946.5172792,9925,18999.41533,6553868.1936306,0
2020-09-10,350.23,377.38,350.15,368.06,43595.53469,2020-09-10 23:59:59.999,16051599.1266269,12031,20540.92729,7563512.3284938,0
2020-09-11,367.96,375.35,355.79,374.04,34298.41772,2020-09-11 23:59:59.999,12540895.6920051,9616,17520.25819,6408884.1853629,0
2020-09-12,373.98,388.11,364.69,387.87,19984.31474,2020-09-12 23:59:59.999,7491714.3732121,7166,10224.34082,3836114.7298349,0
2020-09-13,387.87,390.42,353.52,366.12,26088.06655,2020-09-13 23:59:59.999,9646455.5934665,8356,12050.37765,4455654.0006981,0
2020-09-14,366.5,384.5,356.11,377.04,28246.50564,2020-09-14 23:59:59.999,10484759.5817061,9776,14440.89525,5364335.7078314,0
2020-09-15,377.14,382.24,362.33,363.97,30417.86939,2020-09-15 23:59:59.999,11278092.4872824,9358,14950.16686,5542285.5281966,0
2020-09-16,363.81,373.53,354.8,365.09,32467.83807,2020-09-16 23:59:59.999,11823463.2515221,9996,18931.26287,6886691.8080083,0
2020-09-17,364.85,394.21,363.44,389.37,39030.37239,2020-09-17 23:59:59.999,14885992.34223,10814,17625.00577,6726413.0733347,0
2020-09-18,389.38,392.39,374.0,384.19,33100.54012,2020-09-18 23:59:59.999,12684698.8244735,8390,20520.17828,7860258.1373619,0
2020-09-19,384.51,388.66,376.97,385.31,14211.78171,2020-09-19 23:59:59.999,5447182.8038693,5066,8582.62555,3290025.0152262,0
2020-09-20,385.13,385.35,364.76,370.73,20444.34675,2020-09-20 23:59:59.999,7635855.9986942,6873,9619.61893,3591807.4134253,0
2020-09-21,370.33,378.0,331.0,340.16,35926.59438,2020-09-21 23:59:59.999,12610132.0645547,10392,17711.23278,6207256.0597566,0
2020-09-22,340.31,346.68,335.43,344.11,22634.83768,2020-09-22 23:59:59.999,7732895.4188892,6939,11472.76898,3919774.3952266,0
2020-09-23,344.34,344.5,313.15,320.11,52104.83039,2020-09-23 23:59:59.999,17172048.6273523,11137,32848.66778,10796305.5141217,0
