strategy,total_return_pct,max_drawdown_pct,sharpe_ratio,rebalance_count,total_fees_paid,final_value
classic,86301.55719391095,0.0,6.907747136991788,5899,1.405331090190988e-26,8640155.719391095
channel_multiplier,116028.79403433717,0.0,8.541650217021804,9285,1.1885156875498223e-22,11612879.403433718
bollinger,66809.34408744666,0.0,6.921657318729593,7641,6.221519976312136e-23,6690934.408744667
keltner,65568.07674748402,0.0,7.008884572527872,5133,2.9049515289031586e-23,6566807.674748403
donchian,86075.13375528519,0.0,7.260927406051969,5616,5.81963607722175e-23,8617513.375528518
stable,101673.263253298,0.0,9.291008450132074,4219,6.629271503115292e-27,10177326.325329801
fluid,116028.79403433719,0.0,8.541650217021804,9517,2.601993324821638e-26,11612879.40343372
