strategy,total_return_pct,max_drawdown_pct,sharpe_ratio,rebalance_count,status
classic,16687.70989304097,0.0,0.6089674002253983,859,SUCCESS
channel_multiplier,769299.9251524579,0.0,2.609506306013103,897,SUCCESS
bollinger,570737.4068002045,0.0,2.788374592264038,869,SUCCESS
keltner,539930.5315685543,0.0,2.73541626948321,568,SUCCESS
donchian,728666.0884526507,0.0,2.773133527735006,628,SUCCESS
stable,673750.6761678696,0.0,2.9440512649952826,431,SUCCESS
fluid,769299.9251524583,0.0,2.6095063060131034,929,SUCCESS
