strategy,total_return_pct,max_drawdown_pct,sharpe_ratio,rebalance_count,status
classic,782.6473417105167,-0.054483672597205324,7.983356149295154,123,SUCCESS
channel_multiplier,2.6497129149802336e+34,-12.975327541008653,14.018286240270672,528,SUCCESS
bollinger,2.6840473914845954e+94,-30.459321441140364,17.47895543127328,563,SUCCESS
keltner,7.856194561864095e+61,-27.947976019688447,19.30244364261768,548,SUCCESS
donchian,3.3541354810923312e+100,-29.28918264071597,20.126670993818955,566,SUCCESS
stable,314.1725690175425,-0.02391097032778955,7.630726495666991,55,SUCCESS
fluid,2085.7801038605467,0.0,10.908594202714491,125,SUCCESS
