strategy,return_pct,max_drawdown_pct,sharpe_ratio,rebalance_count,final_value,total_fees_paid,results
classic,0,0,0,0,0,0,"{'strategy_name': 'classic', 'run_id': 'd2248832', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'classic', 'strategy_params': {'width_mode': 'percent', 'width_value': 5.0, 'placement_mode': 'center', 'curve_type': 'uniform', 'liquidity_scale': 0.01}}}"
channel_multiplier,0,0,0,0,0,0,"{'strategy_name': 'channel_multiplier', 'run_id': 'ca50e57b', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'channel_multiplier', 'strategy_params': {'width_pct': 5.0, 'liquidity_scale': 0.01}}}"
bollinger,0,0,0,0,0,0,"{'strategy_name': 'bollinger', 'run_id': 'c963f7b9', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'bollinger', 'strategy_params': {'n': 20, 'k': 1.5, 'liquidity_scale': 0.01}}}"
keltner,0,0,0,0,0,0,"{'strategy_name': 'keltner', 'run_id': 'bb73d95c', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'keltner', 'strategy_params': {'n': 20, 'm': 1.5, 'liquidity_scale': 0.01}}}"
donchian,0,0,0,0,0,0,"{'strategy_name': 'donchian', 'run_id': 'b5a7b838', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'donchian', 'strategy_params': {'n': 20, 'width_multiplier': 0.8, 'liquidity_scale': 0.01}}}"
stable,0,0,0,0,0,0,"{'strategy_name': 'stable', 'run_id': 'a14de16c', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'stable', 'strategy_params': {'peg_method': 'sma', 'peg_period': 20, 'width_pct': 10.0, 'curve_type': 'gaussian', 'bin_count': 3, 'liquidity_scale': 0.01}}}"
fluid,0,0,0,0,0,0,"{'strategy_name': 'fluid', 'run_id': '41dec56c', 'equity_curves': {'strategy': [], 'hodl': [], 'single_asset': []}, 'metrics': {'strategy': {}, 'hodl': {}, 'single_asset': {}}, 'config': {'pair': 'ETHUSDC', 'interval': '1h', 'initial_cash': 10000.0, 'fee_bps': 5, 'slippage_bps': 1, 'gas_cost': 0.0, 'liq_share': 0.001, 'start_date': Timestamp('2020-01-01 07:00:00'), 'end_date': Timestamp('2025-07-31 06:00:00'), 'strategy': 'fluid', 'strategy_params': {'ideal_ratio': 1.0, 'acceptable_ratio': 0.15, 'sprawl_type': 'dynamic', 'tail_weight': 0.15, 'liquidity_scale': 0.01}}}"
