strategy,total_return_pct,max_drawdown_pct,sharpe_ratio,rebalance_count,total_fees_paid,final_value
classic,2485460989953228.0,-0.044252064789673806,2.9821645918784494,5940,125053126434311.39,2.485460989953328e+17
channel_multiplier,9409816233309328.0,-0.03220421517213801,0.2864089326764735,9312,473534727141494.2,9.409816233309428e+17
bollinger,9205843283740114.0,-0.07062499500666286,0.27722986712996117,7666,461339452240703.06,9.205843283740214e+17
keltner,4730950012105845.0,-0.12583409428523762,0.2745521994494241,5158,237605998226389.0,4.7309500121059456e+17
donchian,6600711298839475.0,-0.07800526762945514,0.2759373881212378,5652,331201035734946.06,6.600711298839575e+17
stable,7366247999921419.0,-0.455777078976527,2.4691341601804053,4346,369739534586503.0,7.366247999921518e+17
fluid,4.086006636691533e+16,-0.035020485194015016,3.489158819310502,9564,2046494844514955.0,4.086006636691543e+18
